lead_days,mean,min,max,std,count,variable,model
4.5,3.981871237658705,3.9080919724698786,4.0247585988212276,0.0641756007126472,3.0,T850,multiscale_smooth
4.75,4.058010346876089,3.9782111987599342,4.1000688042900855,0.06914180217055788,3.0,T850,multiscale_smooth
5.0,4.124867019471066,4.041213943537628,4.167283656227618,0.07244809211722472,3.0,T850,multiscale_smooth
0.25,1.1193630951231972,1.1132542594288737,1.1253272731306443,0.006037806666792598,3.0,T850,pyramid
0.5,1.7390985779453825,1.7267528059360842,1.75075885133766,0.012017694671653279,3.0,T850,pyramid
0.75,2.085291206767977,2.0695102058868917,2.10005035922292,0.015295697829832255,3.0,T850,pyramid
1.0,2.3651133161469655,2.351283577531438,2.379352978723836,0.014039189758156226,3.0,T850,pyramid
1.25,2.752511299242818,2.738028484802848,2.7677171704912857,0.014857544307117092,3.0,T850,pyramid
1.5,3.061300099066084,3.0428963830254583,3.0798110569837713,0.018457570641265058,3.0,T850,pyramid
1.75,3.2399102878014205,3.220315676934025,3.2604240512141973,0.02006997889637288,3.0,T850,pyramid
2.0,3.3735025962595095,3.3576272537259486,3.392913101560282,0.017906585274416326,3.0,T850,pyramid
2.25,3.5850991313708485,3.569476938133378,3.6038293100419754,0.017385800068691486,3.0,T850,pyramid
2.5,3.756750329709457,3.738146156072904,3.7764410121871106,0.019170534090063526,3.0,T850,pyramid
2.75,3.839629350645414,3.821336372023603,3.8592220732021807,0.01897626383592029,3.0,T850,pyramid
3.0,3.896316707232114,3.8825032780678734,3.914043629928966,0.016130251783611934,3.0,T850,pyramid
3.25,4.031236724880974,4.017923609629756,4.04811150947189,0.01540588980175072,3.0,T850,pyramid
3.5,4.144938902062958,4.129384264481333,4.162072293379638,0.01640110227487995,3.0,T850,pyramid
3.75,4.189745438734162,4.174485998575026,4.206358732492233,0.01597943933668445,3.0,T850,pyramid
4.0,4.217565500291918,4.207539044809251,4.231675099735605,0.01257542584991875,3.0,T850,pyramid
4.25,4.324095828383645,4.315322920384544,4.336873244842904,0.011319504718438709,3.0,T850,pyramid
4.5,4.416361954804914,4.405135821548983,4.430000188746518,0.012606461094289275,3.0,T850,pyramid
4.75,4.447111692194581,4.436352951544304,4.46118746897279,0.012745209314952294,3.0,T850,pyramid
5.0,4.463679588020581,4.456955164958138,4.476932392569186,0.011477683972716531,3.0,T850,pyramid
0.25,1.106503416121906,1.1037191575811984,1.1089690148276736,0.002639395450646823,3.0,T850,pyramid_w2
0.5,1.71076396919722,1.703500964690386,1.7182887436592325,0.007397364012940029,3.0,T850,pyramid_w2
0.75,2.0479479042529136,2.0401908663400072,2.0571379822921525,0.008563958651034171,3.0,T850,pyramid_w2
1.0,2.325725436370174,2.321858538778233,2.3289813311565744,0.003600491096714895,3.0,T850,pyramid_w2
1.25,2.7085244075262285,2.704143871331997,2.7125829252847913,0.004228732648114036,3.0,T850,pyramid_w2
1.5,3.010864508635778,3.0024781253265735,3.020778824058459,0.009245530051130508,3.0,T850,pyramid_w2
1.75,3.1873426441888015,3.1775298896534885,3.1986247051813312,0.010623886136313133,3.0,T850,pyramid_w2
2.0,3.323447214802688,3.3155849135617115,3.3296619598308155,0.007181687755778498,3.0,T850,pyramid_w2
2.25,3.534799943590695,3.525061289299016,3.5405188125112206,0.008476600839167065,3.0,T850,pyramid_w2
2.5,3.704443493137527,3.6899296478230657,3.714377333842947,0.012851251674284823,3.0,T850,pyramid_w2
2.75,3.7879461385616797,3.7712101879464903,3.7992507320227697,0.014788264212712123,3.0,T850,pyramid_w2
3.0,3.848582833048044,3.832794389087972,3.8565276005097378,0.01367328698067765,3.0,T850,pyramid_w2
3.25,3.983283515021128,3.965490117477461,3.9934685868287287,0.015463300171357858,3.0,T850,pyramid_w2
3.5,4.094935947287582,4.072539849619805,4.106443279030614,0.01939805528851662,3.0,T850,pyramid_w2
3.75,4.14051936981394,4.115330555359329,4.153541851418209,0.02181835300598517,3.0,T850,pyramid_w2
4.0,4.172167868784383,4.147547323902877,4.186370177518456,0.021405798841246607,3.0,T850,pyramid_w2
4.25,4.278737708753461,4.251654688393618,4.294989533304228,0.023610660682148885,3.0,T850,pyramid_w2
4.5,4.36939236843605,4.337049769711043,4.387296682114441,0.02806307374173795,3.0,T850,pyramid_w2
4.75,4.401391453630407,4.365794795158499,4.420820663724107,0.030870719835248563,3.0,T850,pyramid_w2
5.0,4.422564688670299,4.38608529222819,4.4444204202455335,0.03179835641670767,3.0,T850,pyramid_w2
0.25,1.1854368463623612,,,,,T850,rmse_persistence
0.5,1.9224688439016473,,,,,T850,rmse_persistence
0.75,2.361336967114307,,,,,T850,rmse_persistence
1.0,2.685710920443331,,,,,T850,rmse_persistence
1.25,3.0688071278720765,,,,,T850,rmse_persistence
1.5,3.349891928624069,,,,,T850,rmse_persistence
1.75,3.4852407619233823,,,,,T850,rmse_persistence
2.0,3.5695673179598257,,,,,T850,rmse_persistence
2.25,3.7360108112553494,,,,,T850,rmse_persistence
2.5,3.863930526146712,,,,,T850,rmse_persistence
2.75,3.898770710640536,,,,,T850,rmse_persistence
3.0,3.909756284314012,,,,,T850,rmse_persistence
